Bias(mV),Speed,Chain length (A),Probability
225,3,02:04,24.41
225,3,04:06,2.37
225,3,06:08,0.65
225,3,08:10,0.11
225,4,00:02,83.16
225,4,02:04,15.43
225,4,04:06,1.02
225,4,06:08,0.12
225,4,08:10,0.12
225,5,00:02,63.45
225,5,02:04,30.83
225,5,04:06,3.71
225,5,06:08,0.74
225,5,08:10,0.42
250,1,00:02,65.41
250,1,02:04,28.2
250,1,04:06,4.72
250,1,06:08,1.04
250,1,08:10,0.63
250,2,00:02,75.4
250,2,02:04,21.89
250,2,04:06,2
250,2,06:08,0.2
250,2,08:10,0
250,3,00:02,69.14
250,3,02:04,27.52
250,3,04:06,2.58
250,3,06:08,0.11
250,3,08:10,0
250,4,00:02,54.36
250,4,02:04,41.32
250,4,04:06,3.9
250,4,06:08,0.2
250,4,08:10,0
250,5,00:02,63.18
250,5,02:04,28.22
250,5,04:06,4.19
250,5,06:08,1.98
250,5,08:10,0.44
275,1,00:02,86.95
275,1,02:04,12.26
275,1,04:06,0.67
275,1,06:08,0.11
275,1,08:10,0
275,2,00:02,82.36
275,2,02:04,17
275,2,04:06,0.32
275,2,06:08,0.1
275,2,08:10,0
275,3,00:02,79.15
275,3,02:04,19.73
275,3,04:06,0.99
275,3,06:08,0.11
275,3,08:10,0
275,4,00:02,76.1
275,4,02:04,18.8
275,4,04:06,2.17
275,4,06:08,0.26
275,4,08:10,0.26
275,5,00:02,81.07
275,5,02:04,18.39
275,5,04:06,0.43
275,5,06:08,0.11
275,5,08:10,0
300,1,00:02,75.19
300,1,02:04,21.45
300,1,04:06,2.24
300,1,06:08,0.37
300,1,08:10,0
300,2,00:02,72
300,2,02:04,24.45
300,2,04:06,2.81
300,2,06:08,0.244
300,2,08:10,0
300,3,00:02,49.39
300,3,02:04,40.32
300,3,04:06,9.88
300,3,06:08,0.4
300,3,08:10,0
300,4,00:02,65.53
300,4,02:04,32.76
300,4,04:06,1.6
300,4,06:08,0.1
300,4,08:10,0
300,5,00:02,80.82
300,5,02:04,18.28
300,5,04:06,0.89
300,5,06:08,0
300,5,08:10,0
325,1,00:02,85
325,1,02:04,14.47
